0,u,g,w,v,1.25,t,t,1,202,0,+
4.46,u,g,q,h,3.04,t,t,6,43,560,+
0.5,u,g,q,h,1.5,t,f,0,280,824,+
1.54,u,g,w,v,3.75,t,t,5,100,3,+
5.625,u,g,w,v,1.71,t,f,0,120,0,+
4,u,g,m,v,2.5,t,f,0,360,0,+
1.04,u,g,r,h,6.5,t,f,0,164,31285,+
11.585,u,g,cc,v,0.04,t,f,0,80,1349,+
0.5,y,p,k,h,3.96,t,f,0,180,314,+
4.915,y,p,w,v,3.165,t,f,0,52,1442,+
0.83,u,g,c,h,2.165,f,f,0,128,0,+
1.835,u,g,c,h,4.335,t,f,0,260,200,+
6,u,g,k,v,1,t,f,0,0,0,+
10.5,u,g,q,v,5,t,t,7,0,0,+
4.415,y,p,k,v,0.25,t,t,10,320,0,+
0.875,u,g,m,v,0.96,t,t,3,396,0,+
5.875,u,g,q,v,3.17,t,t,10,120,245,+
0.25,u,g,d,h,0.665,t,f,0,0,0,+
8.585,u,g,cc,h,0.75,t,t,7,96,0,+
1,u,g,c,v,0.835,t,f,0,300,0,+
8,u,g,c,v,7.875,t,t,6,0,1260,+
14.5,u,g,x,h,3.085,t,t,1,120,11,+
6.5,u,g,q,v,0.5,t,t,3,145,0,+
0.585,u,g,c,h,1.5,t,t,2,100,0,+
13,u,g,i,bb,5.165,t,t,9,0,0,+
8.5,u,g,e,h,7,t,t,3,0,0,+
1.04,u,g,w,v,5,t,t,6,500,10000,+
14.79,u,g,aa,v,5.04,t,t,5,168,0,+
9.79,u,g,x,h,7.96,t,t,8,0,0,+
5.125,u,g,e,v,5,t,f,0,0,4000,+
10.75,u,g,q,v,0.415,t,t,5,0,560,+
1.5,u,g,w,v,2,t,t,11,434,35,+
1.585,u,g,cc,h,1.835,t,t,12,583,713,+
11.75,u,g,x,h,0.5,t,t,2,300,551,+
0.585,y,p,cc,v,0.25,t,t,2,260,500,+
9.17,u,g,c,v,4.5,t,t,12,0,221,+
1.415,u,g,w,h,0.75,t,t,1,240,100,+
13.915,u,g,w,v,8.625,t,t,6,70,0,+
6.75,u,g,c,h,2.625,t,t,11,0,284,+
2.04,y,p,q,h,0.125,t,t,23,455,1236,+
4.46,u,g,cc,h,6.04,t,t,3,311,300,+
1.54,u,g,i,bb,3.5,f,f,0,216,0,+
0.665,u,g,c,v,0.165,f,f,0,100,0,+
0.5,u,g,c,h,0.875,t,f,0,491,0,+
1,u,g,q,v,1.75,t,f,0,280,0,+
2.04,u,g,w,v,0.04,t,f,0,400,5800,+
2.5,u,g,w,v,0,t,f,0,239,200,+
3,u,g,cc,h,7.415,t,f,0,0,0,+
11.625,y,p,w,v,0.835,t,f,0,160,300,+
0,u,g,cc,v,0.085,t,f,0,0,0,+
0.5,u,g,i,h,5,t,f,0,320,0,+
4.5,u,g,x,h,5.75,f,f,0,711,0,+
3,u,g,q,h,6,t,t,11,80,0,+
12.25,u,g,m,v,1.25,t,t,4,200,0,+
16.165,u,g,d,v,3,t,t,9,250,730,+
0.79,y,p,q,v,1.5,t,t,2,80,400,+
0.835,u,g,q,v,1.585,t,t,1,0,0,+
4.25,u,g,cc,v,4.29,t,t,1,120,0,+
1.54,u,g,cc,v,1.54,t,t,1,520,50000,+
1,u,g,c,v,2,t,t,11,0,456,+
0.375,u,g,m,v,0.25,t,t,3,260,15108,+
6.5,u,g,w,h,1.46,t,t,7,80,2954,+
25.125,u,g,x,h,1.625,t,t,1,515,500,+
7.5,u,g,e,bb,1.585,t,f,0,420,0,-
7,y,p,c,v,1.625,f,f,0,160,2,-
5.29,u,g,q,v,0.375,t,t,1,160,0,-
6.5,u,g,aa,v,0.125,t,f,0,443,0,-
0.585,y,p,aa,v,0.585,t,f,0,160,0,-
1.165,y,p,k,v,2.5,t,t,1,180,20,-
9.75,u,g,c,v,0.25,t,f,0,140,0,-
19,u,g,ff,ff,0,t,t,1,94,0,-
1.5,u,g,m,v,2,t,f,0,368,0,-
0.5,u,g,m,v,0.25,t,f,0,288,0,-
3.5,u,g,d,v,3,t,f,0,300,0,-
0.625,u,g,aa,v,0.455,t,f,0,200,0,-
4,u,g,c,bb,5,t,f,0,280,0,-
2.21,y,p,aa,v,4,t,f,0,188,0,-
4.5,u,g,aa,v,1,t,f,0,240,0,-
1.5,u,g,j,j,0,t,f,0,100,27,-
12.75,y,p,c,h,5,t,f,0,112,0,-
15.5,u,g,c,v,0.5,t,f,0,120,0,-
5,y,p,aa,v,8.5,t,f,0,0,0,-
1.375,y,p,c,h,9.46,t,f,0,200,100,-
1.5,y,p,c,v,1.5,t,f,0,0,225,-
3.54,u,g,i,bb,0.5,t,f,0,171,0,-
0.625,y,p,aa,v,0.125,t,f,0,180,1,-
0.5,u,g,c,bb,0.835,t,f,0,320,0,-
11,y,p,q,v,3,t,f,0,268,0,-
1,u,g,q,v,1,t,t,2,167,500,-
1.75,y,p,c,bb,0.25,t,f,0,164,400,-
16.5,y,p,c,v,4,t,f,0,80,0,-
5,u,g,q,v,0.375,t,t,2,0,38,-
12,u,g,k,v,2.25,t,t,2,120,5,-
4,y,p,i,h,5.75,t,t,2,75,0,-
1.165,u,g,k,v,0.5,t,f,0,280,0,-
11,y,p,aa,v,4.5,t,f,0,120,0,-
2.25,y,p,x,h,10,t,f,0,176,0,-
0.75,u,g,c,v,0.795,t,t,5,140,5,-
3.5,u,g,w,v,3.5,t,t,3,329,0,-
1.04,y,p,ff,ff,0.5,t,t,3,180,147,-
12.5,u,g,w,v,0.875,t,f,0,260,0,-
0.75,u,g,k,bb,1,t,t,3,212,0,-
1.25,y,p,c,h,1.375,t,t,3,140,210,-
